# t Revolution_1 Revolution_2 Revolution_3 Revolution_4 Revolution_5 Revolution_6 Revolution_7 Revolution_8 Revolution_9 Revolution_10 Revolution_11 Revolution_12
0.6293 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.6393 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.6493 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.6593 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.6693 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.6792 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.6893 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.6992 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.7101 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.7193 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.7293 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.7393 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.7493 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.7601 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
0.7692 +0.000000 +0.080000 +0.060000 +0.000000 +0.032000 -0.060000 +0.000000 +0.080000 -0.060000 +0.000000 +0.080000 +0.060000
